steam_id,pais,total_jogos,jogos_ids
76561198802351715,N/A,157,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;440;500;550;620;730;3590;4000;12200;17390;40800;42910;48000;49520;105600;108600;113200;204360;207140;211820;212680;214790;218620;218680;219640;219740;235540;238370;239140;242760;245170;248820;250180;250900;262060;268910;269210;275850;281990;282440;289070;293180;296870;311690;322330;330020;346110;362890;367520;367540;391540;394510;396750;397080;397540;407530;413150;442070;445980;457140;474750;489630;489830;504230;544610;548430;552500;553850;582660;588650;599140;613100;632360;646570;648800;673880;674940;683320;701160;717640;787480;812140;815370;881100;892970;945360;960090;962130;975680;976730;993090;1030300;1039360;1086940;1144770;1145360;1147860;1150690;1174180;1229490;1237970;1238840;1262240;1325900;1337520;1356040;1361210;1382320;1392820;1422450;1454400;1484720;1712840;1747890;1794680;1818750;1887400;1919460;1919470;1922560;1966720;1966900;2088570;2141730;2181930;2231450;2337860;2365810;2379780;2437040;2617700;2694490;2784470;2828500;2881650;3097560;3241660;3339780;3527290;3716600;3805420
76561198806973520,N/A,PRIVADO,
76561198809131830,N/A,0,
76561198965260815,N/A,0,
76561199041716837,N/A,PRIVADO,
76561199084942836,N/A,0,
76561199109781554,BR,79,440;550;6850;6860;6900;21690;35140;43160;49520;105600;108600;200260;203140;205930;208650;221040;234140;235900;237930;239140;239820;245170;247430;254700;259170;269210;271590;286160;287700;311340;322330;346110;348550;359550;383180;397540;407530;431960;462770;548430;553850;574980;582010;582660;586140;594650;623990;632360;702890;770720;774361;794260;961490;993090;1002300;1086940;1090630;1145360;1169040;1229490;1238810;1245620;1274570;1422450;1446780;1498570;1517290;1623730;1671210;1744330;1888160;1966720;2212330;2246340;3050900;3124340;3240220;3405340;3716600
76561199159522860,N/A,0,
76561198268804715,RU,105,10;80;100;440;550;620;730;4000;8190;12210;35450;107410;108600;206690;214250;218620;221100;225540;227300;231430;235720;238320;239140;242760;243470;244210;251570;252170;252490;252950;263060;264710;271590;273350;278360;285900;286120;286690;287700;292030;304390;304930;305620;307690;321040;322330;324800;346110;359550;381210;393380;393420;395760;407530;412020;414700;424840;431960;447040;527450;534380;550040;578080;617670;623990;629520;646910;648800;654310;674940;729720;739630;743640;774941;855860;859570;880940;892970;895400;945360;976310;1006710;1097150;1144200;1167630;1172380;1174180;1238860;1239260;1262540;1293830;1304930;1326470;1357870;1449560;1570330;2149010;2231380;2475460;2567870;2707940;2835570;3240220;3241660;3949040
76561198307594449,N/A,PRIVADO,
76561198829331912,RU,0,
76561198963790451,N/A,0,
76561199059854155,N/A,0,
76561199085192358,PS,0,
76561199154603251,N/A,0,
76561199656151734,N/A,PRIVADO,
76561199674554063,N/A,9,271590;381210;859570;1237950;1404210;1922560;1971870;2315690;3240220
76561197967906271,N/A,0,
76561197979564704,N/A,PRIVADO,
76561198045892402,N/A,PRIVADO,
76561198064543608,BR,52,440;550;570;620;730;6850;6860;6900;33460;45760;105600;203140;205930;217790;218620;219740;221100;222900;242700;242760;247430;252950;268910;271590;282070;304930;307780;310950;322330;356190;381210;393380;424840;513710;553850;559650;578080;588650;657200;671860;678950;686810;739630;774941;815370;895400;945360;1174180;1556790;1987080;2149010;3240220
76561198069174607,N/A,PRIVADO,
76561198072853844,BR,0,
76561198079957202,N/A,0,
76561198086154752,BR,0,
76561198098752272,N/A,0,
76561198106369332,BR,PRIVADO,
76561198118835188,N/A,69,10;80;100;240;550;620;730;9480;10090;12200;12210;24240;24960;49520;55230;202970;202990;204450;206420;208650;212910;218620;222440;224540;228380;238320;239140;242700;251570;265930;271590;272860;275850;285900;286690;289070;289650;292030;304930;322330;327030;346110;349040;367500;370240;386940;407530;454650;489830;495420;582010;633230;678950;728880;851850;976310;990080;1150640;1174180;1222680;1225330;1238860;1274570;1506830;1604030;1712840;2835570;3240220;3241660
76561198119082871,BR,315,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;500;550;620;730;1700;2360;2370;2390;2600;3830;4500;7670;7940;8850;8870;9060;12100;12110;12120;12230;12240;12250;20900;20920;22370;22380;29900;34330;35130;38400;38410;38420;39140;40990;43110;43160;47790;47830;49520;55150;55230;94300;105600;204240;204360;207320;208140;209000;211820;214340;218620;224300;224940;225260;226560;226840;227300;231430;232090;234140;235900;238370;245170;245390;248820;249050;252230;252410;262060;263300;264710;269210;282440;282800;286160;286690;287390;289130;289690;292030;302190;304240;304930;307110;310950;320040;322210;322330;327030;330020;331600;335300;339800;342380;344740;346110;351100;351510;351970;360170;360940;361420;362890;367500;367520;367540;370660;372360;373600;374320;377160;379720;382140;383150;383180;383270;384310;389730;390290;391540;394510;397080;403120;405900;407530;409710;409720;410110;412020;413150;418460;418670;420740;424840;429660;431710;431960;434050;435150;442070;443910;460960;464920;470220;487000;489520;489630;489830;503560;504390;520720;544610;548430;552500;553850;554620;555000;559210;561770;569610;570940;582010;582660;585690;590830;598780;599140;602960;606680;609920;610570;611500;613100;613900;615010;617290;619700;624690;632360;638070;640820;640890;646570;648800;649950;654610;656880;660160;672230;674940;683320;706220;710120;727110;729460;729720;738520;739630;739650;740240;740410;746850;753660;765410;765870;774171;774361;774801;794260;796440;813540;846770;858820;878750;880940;884260;892970;897630;927250;928840;945360;976310;1025440;1035510;1061910;1063730;1089350;1090630;1097150;1134700;1141550;1162130;1169040;1176710;1180660;1184370;1213700;1216490;1218520;1222680;1223870;1237970;1238860;1245430;1245620;1259140;1262580;1269500;1271710;1294660;1330000;1356040;1361210;1367300;1368870;1373430;1393750;1422450;1449560;1456200;1486630;1507190;1515950;1604030;1608450;1659040;1703140;1722860;1745510;1755300;1755910;1785150;1794680;1808500;1818750;1966720;1990740;2060160;2149010;2166060;2337860;2427410;2543510;2622380;2747770;2780980;2796010;2828500;2940490;2955840;3017580;3028500;3062930;3144950;3286930;3463050;3527290;3837340
76561198122413995,N/A,147,70;12130;19000;49520;105600;107410;108600;204360;204450;209330;211820;219740;220240;221100;227300;228320;233860;234140;238240;239140;242700;242760;251570;252490;255710;268910;269770;270880;271590;275850;289070;292030;295110;299740;304390;304430;304930;306130;312660;313120;322330;330390;331600;331810;337360;341940;346110;356190;359550;362300;367500;367540;377840;379430;381210;383150;383180;393420;407530;413150;424840;427520;433850;439700;440900;442070;449610;489830;495420;508440;509980;513710;526870;537800;543460;570940;578080;582010;582660;597820;599140;623990;648800;654310;703080;706220;739630;742300;758870;774361;846770;860510;892970;895400;897450;899770;912290;931180;960910;960990;990080;1063730;1084600;1091500;1097150;1119730;1129580;1149460;1151640;1158160;1174180;1180660;1206670;1213700;1222140;1245620;1324130;1326470;1360000;1363080;1377380;1401730;1446780;1472660;1538570;1594320;1623730;1623940;1645820;1658150;1716740;1766060;1766740;1794680;1800790;1874880;1890860;2142790;2149010;2451100;2625420;2735220;2828500;2993780;3062930;3240220;3321460
76561198129470129,BR,0,
76561198134279962,N/A,0,
76561198163088023,BR,488,10;70;80;100;220;240;320;360;440;730;1250;2280;2300;3330;3830;3910;4000;4500;7000;8000;8140;9480;12100;12110;12120;12230;12240;12250;12750;15080;15120;15700;17410;20510;21690;22600;27920;29900;34270;34870;35130;35420;35450;35720;38400;41000;41700;42680;42690;42910;43110;43160;44350;48000;49520;50300;55100;55230;57300;63500;67370;71340;91200;96100;105600;107410;113020;200170;200710;201700;202200;202970;202990;203160;203770;206420;207140;207490;207610;209080;209630;209670;211820;212910;214340;218620;218680;219640;219950;220820;221040;221100;221260;222880;224960;224980;225000;225020;225260;225300;225320;225540;226840;231330;231430;232050;232090;233130;235600;236150;236870;238090;238320;238430;238460;239140;239200;242550;242700;242760;246110;247120;248710;249870;249990;250400;251570;251950;252130;252410;252950;253920;254480;254700;255520;261110;262280;263060;264200;264300;265550;265590;266310;267980;268870;269210;270550;270880;271570;271590;274190;275850;282100;282800;283330;283640;284930;285010;285130;286570;286690;287290;288160;289130;289690;292030;292620;293840;295110;296470;297130;298110;299740;301640;302190;304050;304390;304930;305050;306130;306350;306410;308040;308600;312670;312710;321270;322330;323580;324080;325180;332310;334210;335300;340200;340820;341940;342150;343710;344300;344740;345220;346110;346290;348360;348510;348670;350300;351290;351940;352950;357070;357780;359550;360130;360170;360480;360970;362300;362890;365590;366760;367450;367540;368230;368420;368730;370510;371140;374040;374320;377600;381140;381210;382050;382120;382490;382560;383180;384310;386880;387840;391720;394690;395170;399820;402390;407530;407730;410110;413150;414340;414580;417430;420740;422100;424840;428430;429470;431240;431710;431930;431960;433340;433850;434650;434730;437920;438480;438740;439190;439700;440900;441380;442070;442120;444200;449220;460930;460960;462960;463150;465760;470220;477160;481870;485890;486500;489520;489830;489940;490990;491950;492630;493540;495420;498320;498660;503820;504130;507010;508380;518120;522210;522570;524440;526740;527710;530700;532210;537800;538590;539720;544330;544610;546090;546400;552500;555000;562260;562270;562360;564310;566190;570940;571310;571740;578080;581320;582010;582660;582890;592890;594650;599140;600430;610570;611500;613100;613830;616560;618140;623990;625340;629520;633230;636150;638070;640700;640890;646910;648800;652550;654310;657200;671860;680360;684680;696370;699240;699920;701470;704850;706220;731490;739630;740240;747350;751780;753660;760620;769920;770720;774361;788100;794260;797410;802240;814200;814380;815370;823130;834910;845070;858820;859570;863550;880940;883710;892970;912290;915600;919220;920690;924970;928840;931180;934700;939400;967050;972660;976310;993090;1005240;1025440;1034160;1048540;1058200;1063730;1076280;1085660;1091500;1097150;1097800;1110910;1128000;1134700;1144200;1158500;1167630;1172620;1174180;1190340;1214330;1222680;1233410;1233570;1239690;1245430;1245620;1259420;1274570;1304930;1326470;1338770;1356040;1366800;1368870;1392820;1404210;1422450;1450180;1454400;1486630;1507190;1510580;1595710;1608450;1621070;1627720;1645820;1659040;1703140;1712840;1755300;1801110;1818750;1836120;1911390;1938090;1966720;1990740;2050650;2071500;2139020;2149010;2337860;2418520;2427410;2427420;2427430;2478970;2543510;2623090;2695940;2881650;2955840;3059070;3098890;3240220;3241660;3321460;3405340;3527290;3595230;3635220;3656800;3694480
76561198165360930,BR,PRIVADO,
76561198168952314,N/A,0,
76561198207575867,BR,0,
76561198214693151,N/A,0,
76561198243092298,N/A,0,
76561198252064048,N/A,321,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;440;500;550;620;730;1250;2990;4000;6060;6220;6850;6880;6910;6920;7000;7510;7520;7670;8000;8140;8190;8850;8870;8980;9050;9070;10680;12100;12110;12120;12200;12210;12230;12240;12250;13520;16450;17330;17340;17390;17410;17470;19900;20510;20900;21090;21100;21110;21120;21690;21980;22300;22380;24240;24960;33910;34270;34820;34830;34870;35420;35450;42500;42670;43110;47780;47870;47890;48000;49520;50130;50300;55100;63380;65790;67370;70000;91200;96000;96100;102600;107410;110800;201810;203160;203770;204100;204450;205230;205950;206420;208200;208610;209080;213670;217920;218620;218640;219150;220240;220260;221040;222880;222900;223470;224220;224960;225540;226840;227300;231430;232010;233250;233270;234140;236870;238010;238090;238320;238910;239030;239140;243000;243470;245170;247120;252130;253430;253900;253920;253980;254000;254020;254040;254060;254700;256330;258180;258760;260230;261180;261640;263060;267920;267940;267960;267980;268870;270880;271500;271590;272890;274900;274940;277950;278490;279640;282100;283310;283350;283390;284160;285840;286040;286440;286570;287290;288160;292030;293180;293840;294020;297020;298110;299460;303390;304050;304240;304430;304930;307130;310380;313160;315550;315810;318100;319180;319630;322170;328500;330830;331360;337000;339340;339470;340200;342150;343360;343930;346010;346110;350080;354860;356200;361190;362890;363620;365450;365590;366760;368360;370310;371660;375460;375710;377160;378100;379290;379640;379720;382300;382490;384930;385490;386320;388750;389810;391740;392820;394680;397540;397670;398210;398680;399100;400250;402390;405950;407530;409710;409720;412880;418370;421650;424830;424840;427780;428430;430960;431960;433850;434570;439700;447020;448070;449220;460790;463180;488790;489520;518790;524220;524440;552520;554530;578330;582660;582890;608800;611500;612880;626690;633230;638070;674750;684720;690790;706220;729040;731490;769920;785030;845070;863550;883710;928050;952060;952070;960990;1012880;1030830;1056960;1066890;1222680;1233570;1238810;1238840;1238860;1849000;2050650;2149010;2427420;3240220;3764200
76561198253051431,N/A,PRIVADO,
76561198263310241,N/A,PRIVADO,
76561198263336614,BR,0,
76561198263369382,NG,20,550;730;218620;242760;252490;252950;271590;304930;346110;359550;407530;489520;578080;582160;623990;1313860;1506830;2669320;3240220;3527290
76561198267341060,BR,8,730;105600;271590;273350;304050;304930;3240220;3668080
76561198275720354,N/A,PRIVADO,
76561198282284020,AR,PRIVADO,
76561198293815406,N/A,0,
76561198300961223,N/A,PRIVADO,
76561198306617737,N/A,0,
76561198313416792,BR,0,
76561198314651779,BR,0,
76561198332941547,N/A,0,
76561198344237332,BR,PRIVADO,
76561198345984869,BR,0,
76561198357516615,BR,9,550;730;200170;346110;407530;413150;470220;945360;3376250
76561198373087254,BR,0,
76561198373195037,N/A,PRIVADO,
76561198397147818,N/A,PRIVADO,
76561198408901878,N/A,0,
76561198412089092,BR,0,
76561198445782870,BR,PRIVADO,
76561198448765734,N/A,0,
76561198824615891,N/A,0,
76561198835061442,BR,0,
76561198846963687,BR,PRIVADO,
76561198848375706,BR,0,
76561198848756096,N/A,0,
76561198872430863,N/A,0,
76561198872495656,N/A,0,
76561198872712841,N/A,0,
76561198874328514,N/A,0,
76561198874395162,BR,0,
76561198876881256,BR,0,
76561198880133547,N/A,0,
76561198885004072,BR,0,
76561198910712841,BR,1,730
76561198917044505,N/A,0,
76561198965210750,BR,PRIVADO,
76561198966602315,N/A,PRIVADO,
76561198967442404,BR,14,730;252490;255710;346110;359550;393380;407530;413150;581320;623990;665360;774941;1623730;1790600
76561198996819346,US,2,244450;628950
76561199001523196,N/A,0,
76561199016560872,N/A,PRIVADO,
76561199018547510,N/A,0,
76561199043855563,BR,109,220;320;360;500;550;730;8650;12210;20900;20920;40990;43110;94300;105600;231430;232770;242760;259940;271590;272060;282800;283270;286690;290280;292030;319830;322330;326990;332480;334040;335210;346110;346290;351940;357290;397720;407530;413150;420740;431960;438270;444690;448780;455400;470220;475150;485950;487370;493340;503900;512020;512410;532210;552500;559650;562520;564210;583950;594720;597230;608990;609920;613100;613900;648800;656940;682630;683830;703080;714620;721420;732520;750770;752590;765160;769920;813780;816380;818890;839920;845070;852110;857050;863550;945360;1012460;1022310;1097150;1158160;1174180;1180660;1222700;1269260;1293830;1386730;1422450;1428820;1466860;1506830;1515950;1667400;1692250;1703140;1794680;1811260;2195250;2669320;3240220;3405690
76561199076581772,N/A,PRIVADO,
76561199091570596,N/A,25,550;620;730;21690;34830;34870;218620;227300;233720;312660;327030;346110;368070;407530;424840;431960;581320;646910;1144200;1338770;1340160;1659040;2149010;2221490;3419520
76561199129405715,N/A,PRIVADO,
76561199250531567,BR,PRIVADO,
76561199395511335,BR,131,220;320;360;500;550;620;21130;105600;108600;204120;214340;214490;214510;218680;219990;221100;227300;233860;235900;238320;239030;249050;249130;249870;254700;261570;268910;285160;286160;286690;292030;312520;322330;341800;346110;356190;367520;376210;379430;381210;382560;383180;387290;389170;391540;403640;405310;407530;410110;413150;431730;431960;443910;505230;516750;522210;534380;570940;572430;578330;582010;582660;588650;599140;602960;624270;632470;647830;648800;739630;755500;815370;818320;860510;881100;883710;920210;924140;977950;979070;990080;1002300;1091500;1166290;1172380;1172620;1180660;1222700;1229380;1238810;1238860;1244090;1260320;1274570;1304930;1313140;1398910;1422450;1432860;1486630;1507580;1588550;1592290;1623730;1627720;1785150;1794680;1808500;1868140;1966720;1987080;2050650;2198150;2212330;2330500;2420110;2622380;2703850;2835570;2881650;2909110;2963880;3059070;3180070;3195790;3241660;3345950;3417410;3527290;3764200;3834090
76561199578663959,N/A,0,
76561199643214110,BR,PRIVADO,
76561198005177111,BR,227,10;20;30;40;50;60;70;80;100;130;550;620;730;1250;1500;1510;1520;1523;1530;6850;6860;6870;6880;6900;6920;8930;9480;12100;12110;12120;12200;12210;12230;12240;12250;17410;17470;22380;22600;23310;24010;24240;24740;35000;35420;40300;40390;43110;43160;44350;47790;47830;50130;50300;55230;57300;57690;70000;70600;70620;70640;70650;70660;91310;96100;104900;105450;108600;108800;113200;200110;200170;201810;203140;203160;204100;207930;211600;214950;216250;217200;218620;219640;219740;221380;221910;222880;223470;225540;225640;227300;231430;232010;233130;233450;233840;234270;238090;238320;238370;239140;239200;239820;242050;242760;242940;242980;245620;247430;252490;252950;253030;253370;255520;255710;258180;258760;270550;270850;270880;271590;282070;285330;286570;287700;287980;288160;289070;292030;295110;298110;301640;302060;302080;302510;304930;310560;311340;319630;321040;322330;323190;327030;329430;346010;350080;355790;359550;360380;360830;362300;367450;371660;377160;383180;386620;390710;391220;391720;394310;396750;397080;412020;413150;415200;418370;423580;433850;438740;439700;447040;457140;475550;493340;494840;495420;503560;515960;535930;539470;552500;552520;578080;582160;582660;588210;612880;623990;632470;648800;657200;673610;703080;706220;728880;752590;761830;783050;883080;883710;916440;933820;945360;950670;960090;960910;960990;983380;1030830;1030840;1056960;1062160;1080110;1091500;1097150;1151640;1161590;1174180;1180660;1190000;1190340;1222140;1259420;1449560;1506830;2144640;3240220
76561198025729138,N/A,302,400;550;570;620;730;3720;3830;3910;6200;6850;6860;6870;6880;6900;6910;6920;8080;8190;8930;10500;17390;17440;22600;22610;22650;22670;23310;24720;25800;28000;34330;35000;35130;35720;39210;40100;40800;41000;41010;42160;42910;44200;45400;48000;49520;55140;57300;58520;67370;70000;70600;70620;70650;70660;71230;71240;71250;71260;71340;72850;91600;98200;98400;98800;102600;104900;105600;107100;108600;113200;115800;200110;200170;200710;201040;202090;202200;202270;203140;203630;203770;204080;204360;204560;205350;206420;206980;207420;207430;207650;207690;207750;208140;208730;209690;209730;211160;211420;211580;211600;212480;212680;213670;214340;214360;214550;214560;214770;215510;215710;217200;218130;218620;219780;219950;220200;220440;220460;220740;220780;220860;221540;223220;224760;225140;225160;225260;226620;226840;227280;228960;230050;231140;231160;231430;231740;233290;233450;233700;234000;234270;234390;235900;236090;236730;237870;238010;238210;238320;238460;239160;239350;241320;241600;241910;241930;242940;242980;243040;247080;247430;248650;249050;250180;250580;250900;252410;252610;258180;261640;262060;266130;268870;269210;270150;275390;278100;286160;289070;289130;291860;292030;292120;292140;293780;298630;304050;304390;306130;308060;311690;318600;319250;319630;320040;322330;323190;323580;330020;343860;346110;351710;351920;355790;359550;360830;365450;367520;368730;371140;372000;374040;383230;386620;390710;391540;394310;405900;406850;407530;413150;428750;431240;431730;433340;437920;440650;446020;448510;464060;469600;489520;493540;493900;495280;496620;504230;508440;512900;524640;527230;535230;540100;543460;544330;545270;552500;564310;570980;582660;588650;599140;613100;619150;623990;641990;646570;654310;696480;701160;732290;783050;807120;861540;892970;899770;945360;960090;978520;1062090;1086940;1092790;1135690;1169040;1206560;1218210;1245560;1348690;1385380;1435790;1525700;1599600;1618380;1623730;1637320;1658150;1668690;1794680;1970580;2009860;2026820;2066020;2109390;2137760;2262080;2276930;2379780;2464880;2659970;2693930;3241660;3496000
76561198026589052,N/A,0,
76561198171685502,N/A,0,
76561198239323044,N/A,PRIVADO,
76561198263734819,BR,6,550;730;413150;815370;945360;2344520
76561198317348202,N/A,0,
76561198411422631,BR,0,
76561198799256566,N/A,51,400;500;550;620;4000;20900;20920;204360;218680;221100;235900;238370;242760;246620;286160;292030;322330;383180;397080;413150;424840;431960;433340;448510;524910;559650;581030;582660;585690;599140;613100;648800;690640;739630;805820;858820;945360;976310;990080;1086940;1119980;1180660;1225570;1274570;1302240;1422450;1426210;1657630;1907720;1966720;2149010
76561197994850956,BR,PRIVADO,
